X,Y,Z,distance,wavelength_800_nm
39.10864639,42.4391098,485.8625794,489.278046,0.00051
32.79928589,51.65459442,490.9660645,494.7642518,0.000581
29.54177856,53.8611908,492.5974426,496.4131156,0.000421
26.93826485,21.20591164,494.2061157,495.393829,0.000581
27.01326752,22.6169281,495.5820923,496.8328248,0.00058
26.28089333,33.19914627,482.1460266,484.0017091,0.000591
26.8337574,54.5057373,492.2888184,496.0233756,0.000556
24.28328896,33.49708939,481.6885376,483.4620672,0.000475
23.75600624,29.19721794,498.2009888,499.6208802,0.000587
21.69602776,34.88224411,482.616333,484.36145,0.000517
21.42028999,18.73997307,491.3925171,492.216034,0.000553
20.42253304,35.2868309,483.6353149,485.3507689,0.000496
19.68424988,18.69902229,481.708252,482.4727779,0.000573
19.72041893,19.06237602,482.5933533,483.372131,0.00055
20.47777748,31.42288589,501.1272583,502.5288697,0.000492
20.15930939,55.30137634,493.3337708,496.8328248,0.000477
19.41445923,55.43537521,491.5069275,495.004089,0.000578
18.04083443,16.42868805,473.0599976,473.6888429,0.0005
18.13859558,16.84185791,475.6234436,476.2670594,0.000574
18.3651123,35.13563156,481.5630493,483.1922608,0.000478
18.4418869,35.94440842,483.5762329,485.2608341,0.000501
16.76127815,11.27905178,473.3478394,473.7787782,0.000426
17.30482292,46.04064941,488.6978455,491.1667479,0.00051
17.44533539,49.79995346,492.6659851,495.4837652,0.000584
17.63108826,73.09169769,517.8445435,523.2745362,0.000516
16.65859413,61.00164032,509.6834717,513.5912477,0.000529
15.89330959,60.38112259,507.4258423,511.2528382,0.000565
15.1838665,59.26024246,506.8247681,510.503357,0.000571
13.20254612,50.33701706,484.7841187,487.569244,0.000426
12.6320715,35.29023361,488.2611389,489.697754,0.000452
11.06017876,7.48116112,477.8193359,478.0058595,0.000537
10.39977932,7.79929495,477.3792114,477.556183,0.000563
10.74165821,36.31280136,493.0724182,494.5244142,0.00053
10.63428688,44.98298645,488.1437683,490.3273321,0.000576
10.39361858,45.9307518,477.096405,479.4148856,0.00054
8.16073799,40.89103699,499.5023804,501.2397767,0.000449
7.02786827,74.65344238,516.2080689,521.6256715,0.000377
2.10263395,70.52361298,514.8349609,519.6470338,0.000527
0.65064847,14.31853867,477.9408875,478.1557618,0.000569
0.0,15.00578976,479.0899963,479.3249513,0.000509
-2.06299067,44.12192535,505.1282349,507.0557557,0.000577
-4.74954891,43.19153214,498.3898621,500.2804261,0.000576
-6.13011026,50.57180023,500.3017883,502.8886414,0.00058
-11.60786533,20.15029716,501.4803467,502.0192262,0.000499
-14.28969479,23.48680305,499.7046204,500.4602967,0.000483
-14.4316721,60.05312729,504.6694946,508.434784,0.000575
-14.92738914,23.07918739,498.2637634,499.0213014,0.000591
-15.42843151,56.23603821,492.5836792,496.0233756,0.000569
-16.51979256,22.03249168,505.4367371,506.1863404,0.000507
-16.19591904,22.95244789,495.5275574,496.3231812,0.000515
-15.70833397,35.06605911,480.6094971,482.143005,0.00053
-19.90201569,58.62752533,487.0373535,490.956879,0.00058
-20.66927719,57.90761948,489.4785767,493.325256,0.000569
-21.60251808,19.91292953,495.572937,496.4430848,0.000549
-21.86220551,19.87240982,486.3128662,487.209473,0.000487
-23.19536018,56.54154205,486.4433289,490.2673651,0.000491
-26.66109085,17.87221527,477.1673889,478.2456971,0.000514
-27.08978653,50.34281921,484.8399963,488.198792,0.000591
-27.50388908,19.63513947,480.5064392,481.693298,0.000551
-28.45168304,50.40924072,485.4796753,488.9183041,0.000586
-31.89441872,25.69743347,477.4213257,479.1750489,0.000512
-32.2925415,48.19668961,483.3807373,486.849731,0.000568
-34.21679688,46.123806,482.5448608,485.950348,0.000494
-38.86010742,24.0086174,482.7749023,484.9310609,0.000585
-38.78672409,24.29209518,481.8632202,484.0316771,0.000493
-39.71337128,35.72689056,485.1166687,488.048889,0.000579
