X,Y,Z,distance,wavelength_840_nm
38.02393341,45.73632813,489.0320435,492.6357418,0.000462
29.54177856,53.8611908,492.5974426,496.4131156,0.000456
25.00545311,26.35957718,496.0135498,497.3424684,0.000485
23.5631485,18.50853729,494.1564636,495.064056,0.000463
19.87398911,19.54239655,486.3515015,487.149536,0.000486
17.45932961,14.870924,474.7841187,475.3377076,0.000368
17.44533539,49.79995346,492.6659851,495.4837652,0.000318
15.69453335,32.07919693,480.1872559,481.5134278,0.000446
13.33873177,38.75333405,489.784729,491.4965211,0.000485
10.83690834,40.04092407,497.4446411,499.1712037,0.000471
8.76564598,37.49002075,495.2485657,496.7428885,0.000454
1.99785185,31.67664146,489.1788025,490.2073971,0.000437
-2.79610324,66.42414093,513.472229,517.7583619,0.000451
-4.73721218,47.173172,497.0953064,499.3510743,0.000462
-19.50609398,20.48256683,477.3484802,478.1857301,0.000447
-19.98425865,58.19448853,489.0499878,492.9055482,0.000473
-20.02070999,20.34401703,474.1195374,474.9779664,0.000439
-22.88537407,17.97615433,479.9424439,480.8239141,0.00041
-23.19536018,56.54154205,486.4433289,490.2673651,0.000382
