X,Y,Z,distance,wavelength_914_nm
38.37255096,35.05252075,484.972229,487.749115,0.000486
36.79763031,33.83054352,481.7451782,484.331482,0.000467
30.76474762,52.6325798,490.6313782,494.4045101,0.000482
30.19493675,53.14762497,492.2728272,496.0533753,0.000505
24.8178978,49.76226425,492.2931213,495.4237982,0.000262
23.62052727,33.81884766,481.5786438,483.3421632,0.000459
20.79767418,19.79022598,492.5192261,493.3552252,0.000308
19.90034866,19.90034866,486.9965515,487.809082,0.000481
18.72148132,16.46005058,473.9631043,474.6181947,0.000488
16.8945961,13.96868515,477.112793,477.6161195,0.000454
16.70911598,48.25831985,490.7651978,493.4151922,0.000438
15.43965149,53.55932999,492.9418945,496.0833436,0.000497
15.61132622,76.44656372,521.0930176,526.9019776,0.000317
14.70817184,67.9605484,514.338562,519.0174561,0.000307
13.27097607,53.61729431,487.2967835,490.4172669,0.000246
12.67631149,71.56552124,517.2035523,522.2852174,0.000259
11.06017876,7.48116112,477.8193359,478.0058595,0.000381
11.01637554,9.39586353,475.9269409,476.1471559,0.000298
11.59575272,40.6668663,500.9570618,502.7387391,0.000465
10.74165821,36.31280136,493.0724182,494.5244142,0.000434
7.75125313,71.97624969,517.5767822,522.6149903,0.000498
2.74983215,43.06968689,504.9750671,506.8159181,0.000509
2.7662158,59.74628448,507.9837341,511.4926759,0.000262
1.3433789,28.57862663,493.395813,494.22464,0.000399
-0.64917266,30.87873268,476.856781,477.8559571,0.000492
-2.09325862,65.94878387,512.5393677,516.7690431,0.000357
-2.73622441,58.05849075,502.4761353,505.8265992,0.000267
-6.09521866,51.31036377,497.4541626,500.1305543,0.000262
-8.22307205,52.60774994,503.3177185,506.1264039,0.000455
-8.7932415,41.6919136,496.8077087,498.6315919,0.000224
-10.75470924,34.66806412,493.6714478,495.004089,0.000442
-11.3674612,68.22361755,521.798523,526.3623658,0.000399
-11.14354515,32.16161346,481.4208984,482.6226502,0.000392
-11.42704487,35.34330368,493.6686096,495.064056,0.000499
-16.535429,55.44602966,485.6638184,489.098175,0.000475
-17.56546021,37.21175003,496.0583801,497.7621766,0.000435
-18.34981537,41.87586975,498.9997559,501.0898744,0.000264
-18.14331245,32.43318558,475.7471314,477.1964112,0.000296
-19.90227127,29.23144722,471.3147278,472.639557,0.000428
-20.60062981,58.38884354,487.8529358,491.766327,0.000457
-22.9121151,18.97981644,480.5032654,481.423492,0.000185
-25.65327072,48.79487228,482.7228088,485.860413,0.000414
-28.04506493,19.88112831,478.5414429,479.7746278,0.000444
-29.34437752,30.65206337,478.4060364,480.2842709,0.000256
