X,Y,Z,distance,wavelength_589_nm
36.75662994,46.83556747,489.9913025,493.5950619,0.000816
22.4522419,30.63442612,499.4378967,500.8800345,0.00082
19.71405602,35.19944763,482.4376526,484.1216131,0.000822
16.77416801,50.81750107,492.6758423,495.5737,0.000829
16.65859413,61.00164032,509.6834717,513.5912477,0.000754
16.64459419,61.30200577,509.255127,513.2014771,0.000683
14.53614616,34.40538025,485.2044373,486.639893,0.000674
14.5969429,38.21778488,487.2337647,488.948273,0.000797
13.95925713,38.28960037,488.1493225,489.8476561,0.000762
13.20185184,50.00086975,484.758606,487.509277,0.00081
13.27097607,53.61729431,487.2967835,490.4172669,0.000806
12.6320715,35.29023361,488.2611389,489.697754,0.000682
12.78402042,39.0974884,494.1343384,495.843506,0.000778
12.43891525,48.26942825,480.7951355,483.372131,0.000693
12.47423077,49.06956863,482.1601563,484.8111571,0.000751
11.83194733,48.13407898,482.7528381,485.2908021,0.00078
11.35880566,35.8037796,490.7205505,492.156067,0.000775
11.38037968,36.20823669,491.6525574,493.1153871,0.000714
10.74165821,36.31280136,493.0724182,494.5244142,0.000729
10.65575886,44.73806763,489.129364,491.2866519,0.000696
5.94165754,39.69739151,484.9214783,486.579926,0.000818
6.42244387,75.43927002,524.1602783,529.6001588,0.000563
3.51321721,71.41651154,516.126709,521.0560304,0.000789
3.51955533,71.90407562,517.0578003,522.0453492,0.000725
3.51780653,72.22696686,516.8009033,521.8355103,0.000578
2.10263395,70.52361298,514.8349609,519.6470338,0.000731
1.40318239,70.23825836,515.3604736,520.1267091,0.000776
0.67443866,55.19337845,495.4161987,498.4816886,0.00079
0.0,69.01450348,514.2270508,518.8375855,0.000686
-0.69740784,66.98020935,512.2884522,516.649109,0.000834
-1.39975154,67.21710968,514.1003418,518.4778443,0.000581
-4.68192005,48.31024551,491.2932739,493.6849981,0.000602
-4.72169065,49.06115723,495.4665833,497.9120789,0.000772
-5.47559118,48.74584579,502.7497559,505.1370851,0.000665
-5.46929693,49.72511292,502.171875,504.6574098,0.000805
-8.50387859,69.49647522,520.5053711,525.1931764,0.000575
-11.18063068,30.61776352,483.0230713,484.1216131,0.000815
-11.14552975,30.85072136,481.5066528,482.6226502,0.000706
-11.3570137,34.7910347,490.6431274,492.0061651,0.00076
-11.78681374,34.10096359,480.9113464,482.262909,0.000828
-13.41743565,64.5788269,518.6173706,522.7948609,0.000759
-14.40367508,65.12673187,528.8883667,533.0777589,0.000792
-15.75930786,37.74354553,503.147583,504.8073121,0.000816
-16.18824196,36.81529236,495.2926331,496.9227601,0.000821
-16.11875153,32.27491379,473.4255371,474.7980653,0.000791
-34.03156281,25.50499153,479.9326172,481.813232,0.000786
