X,Y,Z,distance,wavelength_833_nm
22.98682022,29.42300415,496.2696228,497.6722413,0.00044
14.25599766,8.74636745,475.853302,476.1471559,0.000429
-11.22831249,31.74300385,485.0830078,486.250153,0.000458
-12.97052765,20.48660469,501.3432922,501.9292909,0.000449
-18.24178123,21.17706108,478.3291321,479.1450807,0.000464
-19.90201569,58.62752533,487.0373535,490.956879,0.000459
-31.120327,49.76536179,485.7145386,489.248077,0.000384
-31.59332848,48.47027588,482.7957153,486.250153,0.000407
-36.89200592,42.51866531,482.9806824,486.250153,0.000468
