X,Y,Z,distance,wavelength_653_nm
38.60253906,42.28063202,487.8789368,491.2267149,0.000771
32.73656464,52.5677681,490.0272217,493.9248348,0.000814
31.38539314,52.21168137,489.851593,493.6250311,0.000829
30.76474762,52.6325798,490.6313782,494.4045101,0.000798
29.57825089,53.24833298,493.2055969,496.9527284,0.000728
28.87769318,54.21718216,492.7488098,496.5630189,0.000729
27.53672791,32.79675293,481.0801392,482.982422,0.000807
26.86717224,33.11030197,480.8557434,482.7425838,0.000783
27.52467155,53.8640213,492.6233521,496.3231812,0.000826
26.28089333,33.19914627,482.1460266,484.0017091,0.000779
27.14393425,54.79269028,497.9792786,501.719452,0.000804
25.5259819,54.24385834,492.991272,496.6229554,0.000819
24.28328896,33.49708939,481.6885376,483.4620672,0.00083
22.74657249,54.71060944,491.0828552,494.6443482,0.000822
22.4522419,30.63442612,499.4378967,500.8800345,0.000828
21.76969719,30.63259888,499.4081116,500.8200685,0.000731
21.20046043,35.15206909,486.3495483,488.078888,0.000719
20.50806427,35.10229111,485.6607971,487.359375,0.000704
20.42253304,35.2868309,483.6353149,485.3507689,0.000733
19.71405602,35.19944763,482.4376526,484.1216131,0.000741
19.21893883,35.5,486.5570068,488.22879,0.000762
18.86172676,30.3367672,494.5851135,495.8734742,0.0006
18.95329857,30.82362366,496.9862976,498.3018189,0.000819
18.52658653,36.77455902,485.7972107,487.539246,0.000801
16.55053139,36.7980423,486.1074219,487.779083,0.000807
16.77416801,50.81750107,492.6758423,495.5737,0.000774
17.29650116,60.10084152,508.017334,511.8524171,0.00067
16.07518578,50.73063278,491.8336487,494.7042852,0.000686
16.12412262,53.94138718,493.3309021,496.5330201,0.000777
16.69726563,62.20166397,510.8666992,514.9102784,0.000624
15.27328205,45.94006729,487.6302185,490.0275269,0.00078
15.40958405,53.79389191,491.9819336,495.1539918,0.000809
15.93768215,60.90099335,508.8425293,512.7218018,0.000702
14.35884857,9.46218586,479.286377,479.5947572,0.000727
13.92943096,53.26078415,487.1063232,490.2073971,0.000747
14.40895271,56.48301697,503.875,507.2356263,0.000827
13.36141491,38.4832077,490.6176453,492.3059689,0.000818
13.34777355,39.11532211,490.1167297,491.8562618,0.000745
13.17852116,49.24682999,483.901947,486.579926,0.000712
13.22392559,51.75522995,485.5691528,488.498596,0.000812
13.29485703,53.04125595,488.1736755,491.2267149,0.000591
13.27097607,53.61729431,487.2967835,490.4172669,0.000546
12.78402042,39.0974884,494.1343384,495.843506,0.000773
12.42803478,48.55750275,480.3745728,482.982422,0.000709
12.52405548,50.264534,484.0860291,486.849731,0.000798
12.02611065,35.80044174,490.6748352,492.1260682,0.000561
12.16411114,39.60922241,496.3053589,498.0319816,0.000803
12.134161,39.85085297,495.0833435,496.8328248,0.000721
11.83194733,48.13407898,482.7528381,485.2908021,0.00075
11.54100704,39.79171371,498.5919495,500.3104249,0.000803
11.5143013,41.403862,497.4382019,499.2911073,0.00081
11.27325726,44.87986374,487.0246887,489.218109,0.00079
11.07474804,47.04720688,478.4487305,480.8838502,0.00049
11.12779236,47.93342209,480.7403259,483.2522279,0.000679
10.67784309,42.47685242,490.1431274,492.0960999,0.00081
10.63428688,44.98298645,488.1437683,490.3273321,0.000815
10.612813,45.2265892,487.1580505,489.367981,0.000815
10.39361858,45.9307518,477.096405,479.4148856,0.00076
10.18446636,38.77344513,498.6716614,500.2804261,0.000725
8.77191448,37.17757416,495.6027832,497.0726624,0.000826
8.10405064,37.20981979,496.0326538,497.4923707,0.000823
