X,Y,Z,distance,wavelength_442_nm
33.38587952,33.05752945,480.089325,482.3828131,0.000469
26.94671249,18.85318375,494.361084,495.453766,0.000505
25.05309296,33.3170433,483.8582459,485.6505739,0.000487
24.1343174,55.15790176,492.0538635,495.7236024,0.000528
18.7876358,29.20794678,492.6423035,493.8648678,0.000527
18.95329857,30.82362366,496.9862976,498.3018189,0.000496
16.84845352,12.30993557,475.8097534,476.2670594,0.000453
16.8945961,13.96868515,477.112793,477.6161195,0.000483
16.71411705,54.35331345,490.9121094,494.1946412,0.00048
15.18511391,37.36408234,484.8152771,486.48999,0.0004
14.37633038,33.37062073,479.8699341,481.2436219,0.000511
13.01071262,7.47992229,477.7402039,477.9758912,0.000479
13.20185184,50.00086975,484.758606,487.509277,0.000485
13.77981758,57.76554489,505.980957,509.4540711,0.000516
12.7181797,54.76704407,491.5894165,494.7942201,0.000469
12.03315449,35.14954376,490.9622192,492.3659059,0.000518
5.56770563,61.89004898,511.2073975,514.970276,0.000484
1.33468211,27.72408867,490.2016907,490.9868771,0.000472
0.67443866,55.19337845,495.4161987,498.4816886,0.000478
0.0,29.12504196,496.9694214,497.8221436,0.000515
0.0,47.12372208,500.1940918,502.4089662,0.000523
-0.65806657,27.66893578,483.3898926,484.1815799,0.000473
-5.37404728,43.43824005,493.4263611,495.3638311,0.000434
-8.69788933,57.7981987,491.4204407,494.8841859,0.000524
-10.27620602,61.61135101,503.1635742,507.0257569,0.000522
-11.67062378,20.60299683,504.1916199,504.7473451,0.000413
-11.06269741,48.63887405,477.9281311,480.524109,0.00052
-11.8565588,63.07474518,512.2243652,516.2293702,0.000518
-12.26897812,22.50376511,500.5840149,501.2397767,0.000519
-12.52257538,28.36665344,484.0288086,485.0209959,0.000503
-14.85649014,23.6461544,495.8972473,496.6829225,0.000515
-17.56546021,37.21175003,496.0583801,497.7621766,0.000411
-18.57912445,21.14500427,470.3591003,471.2005616,0.000448
-19.98425865,58.19448853,489.0499878,492.9055482,0.000423
-28.27487373,22.01819801,482.462738,483.7918399,0.000513
-28.45168304,50.40924072,485.4796753,488.9183041,0.000497
-31.35471153,26.11754608,479.149292,480.8838502,0.000513
