X,Y,Z,distance,wavelength_621_nm
39.65578842,34.68068314,484.4132385,487.26944,0.000902
28.24848747,53.62159729,493.5149536,497.2225648,0.000845
27.52467155,53.8640213,492.6233521,496.3231812,0.000761
27.14393425,54.79269028,497.9792786,501.719452,0.000753
23.07675934,30.55919266,498.2113648,499.6808473,0.000891
22.4522419,30.63442612,499.4378967,500.8800345,0.000892
21.70082474,34.22942734,482.7230225,484.4214171,0.000863
21.20046043,35.15206909,486.3495483,488.078888,0.000873
20.40167809,30.96495247,499.2650147,500.6401978,0.000818
19.71405602,35.19944763,482.4376526,484.1216131,0.000683
18.86172676,30.3367672,494.5851135,495.8734742,0.000711
18.52658653,36.77455902,485.7972107,487.539246,0.000896
16.71851158,50.31111526,491.0411377,493.894867,0.00087
17.29650116,60.10084152,508.017334,511.8524171,0.000831
17.56428146,70.66709137,515.8823242,520.9960938,0.0009
17.63108826,73.09169769,517.8445435,523.2745362,0.000796
16.12412262,53.94138718,493.3309021,496.5330201,0.000892
16.65859413,61.00164032,509.6834717,513.5912477,0.000563
16.64459419,61.30200577,509.255127,513.2014771,0.000707
16.69726563,62.20166397,510.8666992,514.9102784,0.000772
16.89891434,71.90107727,517.0362549,522.2852174,0.000645
14.5969429,38.21778488,487.2337647,488.948273,0.000728
13.95154953,45.62856674,487.8797913,490.2073971,0.000885
13.92943096,53.26078415,487.1063232,490.2073971,0.000799
14.40895271,56.48301697,503.875,507.2356263,0.000869
14.55178928,58.44628525,508.8699341,512.4220582,0.000777
13.01071262,7.47992229,477.7402039,477.9758912,0.000895
13.36141491,38.4832077,490.6176453,492.3059689,0.000859
13.17852116,49.24682999,483.901947,486.579926,0.000827
13.17644691,50.5704155,483.8257752,486.639893,0.000643
13.17794228,50.90914154,483.8806763,486.729828,0.00085
13.25851059,52.56097794,486.8390808,489.8476561,0.00063
13.29485703,53.04125595,488.1736755,491.2267149,0.000739
12.78402042,39.0974884,494.1343384,495.843506,0.000893
12.43891525,48.26942825,480.7951355,483.372131,0.000607
12.42803478,48.55750275,480.3745728,482.982422,0.000795
12.51578617,49.56575775,483.7663879,486.459991,0.000599
12.06040573,35.56582642,492.0740967,493.505127,0.000858
11.98595238,36.01556015,489.0363159,490.507202,0.000877
12.21090126,39.4203186,498.214447,499.9206849,0.000828
12.16411114,39.60922241,496.3053589,498.0319816,0.000785
11.35880566,35.8037796,490.7205505,492.156067,0.000769
11.62040329,39.3777504,502.0220032,503.6980592,0.000857
11.49697399,41.00114822,496.6896362,498.5116578,0.000899
11.07474804,47.04720688,478.4487305,480.8838502,0.000607
10.74165821,36.31280136,493.0724182,494.5244142,0.000579
10.58690834,36.4548912,485.9689331,487.44931,0.000838
10.83012867,38.65384293,497.1334229,498.7514955,0.000706
10.612813,45.2265892,487.1580505,489.367981,0.000858
10.39361858,45.9307518,477.096405,479.4148856,0.000766
10.08393383,36.70056534,493.7491455,495.2139588,0.000902
10.20026112,38.49158096,499.4450378,501.0299073,0.000681
10.18446636,38.77344513,498.6716614,500.2804261,0.000902
10.220541,39.25350189,500.4380188,502.0791932,0.000829
9.98378086,44.37657547,488.8452759,490.956879,0.000805
9.49583244,38.39356995,498.1733093,499.7408143,0.000809
5.94165754,39.69739151,484.9214783,486.579926,0.000697
5.97756481,40.27161026,487.8520203,489.547852,0.000781
4.58189964,46.28708649,480.7977295,483.042358,0.0009
4.22878885,71.99419403,517.7058716,522.7048951,0.000794
3.33925724,41.16846848,490.5702515,492.3059689,0.000762
2.01558375,54.30208969,493.5205078,496.5030518,0.000739
2.01722693,55.02700806,493.9228516,496.9827271,0.000815
2.10586238,70.27437592,515.6254273,520.3964845,0.000816
2.10263395,70.52361298,514.8349609,519.6470338,0.000731
0.67443866,55.19337845,495.4161987,498.4816886,0.000763
-0.67614222,55.33279419,496.6676025,499.7408143,0.000801
-0.6976527,66.29428101,512.4683838,516.7390138,0.000815
-0.69740784,66.98020935,512.2884522,516.649109,0.000743
-1.39898539,66.82462311,513.8189697,518.1480714,0.000705
-2.09325862,65.94878387,512.5393677,516.7690431,0.000795
-2.64975405,47.51403809,486.5968628,488.9183041,0.000673
-2.79699636,66.08992004,513.6362305,517.878235,0.00079
-3.29793167,47.97515106,484.4990845,486.8797,0.00086
-3.98211646,48.2730217,487.5072632,489.9076229,0.000709
-4.74356604,42.795784,497.7620544,499.6208802,0.000834
-4.7460494,46.91915131,498.0226746,500.2504579,0.000819
-4.73721218,47.173172,497.0953064,499.3510743,0.000725
-4.68192005,48.31024551,491.2932739,493.6849981,0.000813
-4.72169065,49.06115723,495.4665833,497.9120789,0.000565
-4.65314579,48.68457413,488.2738953,490.7170721,0.000891
-5.47506571,47.35995102,502.7015381,504.9571839,0.000833
-5.39452934,49.3858223,495.3069458,497.7921449,0.000797
-6.80287361,51.54014587,499.6818848,502.3789979,0.000699
-7.55524397,50.99501419,504.4886169,507.1156922,0.00087
-7.51258612,51.74213791,501.6402283,504.3576051,0.000852
-8.25923538,50.40525818,505.5312195,508.1050111,0.000653
-8.50387859,69.49647522,520.5053711,525.1931764,0.000806
-9.41420269,70.64822388,531.8912964,536.6452638,0.000864
-10.90882397,31.74116516,500.7457581,501.8693238,0.000842
-10.89418983,32.38216019,500.0740051,501.2397767,0.000785
-11.14552975,30.85072136,481.5066528,482.6226502,0.000869
-11.14354515,32.16161346,481.4208984,482.6226502,0.000877
-11.24963093,32.8000946,486.0039978,487.239471,0.00081
-11.19166374,32.96170425,483.4997253,484.75119,0.000767
-12.70083618,66.31913757,518.2041626,522.5850221,0.000743
-14.40367508,65.12673187,528.8883667,533.0777589,0.000831
-14.96421432,37.46939468,499.492981,501.1198426,0.000848
-15.3986187,61.16258621,513.993042,517.8482667,0.000713
-15.75930786,37.74354553,503.147583,504.8073121,0.000761
-16.535429,55.44602966,485.6638184,489.098175,0.000881
-17.56546021,37.21175003,496.0583801,497.7621766,0.000879
-18.25842857,58.74001312,496.5146179,500.3104249,0.000639
-19.28085518,58.08435822,488.1245117,491.9461981,0.000834
-19.98425865,58.19448853,489.0499878,492.9055482,0.000794
-20.59350967,58.03197479,487.6842957,491.5564879,0.000875
-20.60062981,58.38884354,487.8529358,491.766327,0.000838
-21.86220551,19.87240982,486.3128662,487.209473,0.000889
-26.34390831,49.85063934,483.302124,486.579926,0.000771
-31.68897438,48.28409195,484.2573242,487.689148,0.000874
-32.2925415,48.19668961,483.3807373,486.849731,0.000847
