X,Y,Z,distance,wavelength_882_nm
32.91534424,33.24553299,482.8197022,485.080963,0.00038
26.93826485,21.20591164,494.2061157,495.393829,0.00049
21.50076485,19.81913376,493.238678,494.1047059,0.000471
16.71851158,50.31111526,491.0411377,493.894867,0.000388
17.02014923,73.50115967,520.7455444,526.1824952,0.000466
14.93437004,9.41329193,476.8097534,477.1364442,0.000387
11.49697399,41.00114822,496.6896362,498.5116578,0.000402
11.32106781,74.0708847,519.6689453,525.043274,0.00047
6.7697444,37.30102539,497.2484741,498.6915284,0.000449
4.20072889,47.74365997,514.2706909,516.4992066,0.000478
0.0,15.34819508,479.5890503,479.8345948,0.000446
-4.87571192,65.831604,511.6286926,515.869629,0.000415
-14.50197411,60.69577789,507.1279297,510.9530335,0.000496
-19.04298973,36.8249321,482.1025696,483.881775,0.000473
-20.15397644,20.15397644,477.2754822,478.125763,0.00039
