X,Y,Z,distance,wavelength_491_nm
27.01326752,22.6169281,495.5820923,496.8328248,0.000582
26.28089333,33.19914627,482.1460266,484.0017091,0.000625
24.0894413,54.7168541,491.138916,494.7642518,0.000637
22.97880936,33.51192856,481.9019165,483.6119691,0.000604
23.04174614,29.15352631,497.4554443,498.8414308,0.000556
22.13843155,19.11628342,492.4573669,493.325256,0.000616
16.95165825,30.34527016,478.7242432,479.9844972,0.000551
16.87819099,30.86531067,476.6495056,477.9458924,0.000583
17.3755188,62.13731766,510.3381958,514.4006349,0.000589
16.01544952,51.21637726,490.0059204,492.935516,0.000585
16.05326462,51.67530823,491.1629639,494.1347052,0.000609
16.08442688,53.46963882,492.1163635,495.2738949,0.000615
16.64459419,61.30200577,509.255127,513.2014771,0.000617
15.09981537,33.52514267,482.091919,483.492065,0.000623
13.95925713,38.28960037,488.1493225,489.8476561,0.000555
13.91035557,52.18286896,486.43927,489.427948,0.000624
14.55178928,58.44628525,508.8699341,512.4220582,0.000549
13.34777355,39.11532211,490.1167297,491.8562618,0.000623
13.34333801,46.49546432,489.9538879,492.3359381,0.000641
12.47423077,49.06956863,482.1601563,484.8111571,0.000605
12.02611065,35.80044174,490.6748352,492.1260682,0.000588
11.38037968,36.20823669,491.6525574,493.1153871,0.000624
11.25964832,71.51654053,516.8496094,521.8954469,0.000635
10.08393383,36.70056534,493.7491455,495.2139588,0.000577
10.03241634,41.2235527,491.2266541,493.0554501,0.000567
9.93126392,41.80807114,486.2738342,488.168823,0.00063
8.81112099,40.75314331,497.8179016,499.5609437,0.000623
5.97756481,40.27161026,487.8520203,489.547852,0.000604
2.64708519,30.81323051,486.1067505,487.089569,0.000627
2.01141644,54.52913666,492.5001526,495.513733,0.000555
2.01722693,55.02700806,493.9228516,496.9827271,0.000638
-2.07789278,66.52110291,508.7770691,513.1115724,0.000523
-3.46850848,65.56523895,509.5585327,513.7711183,0.000615
-12.70083618,66.31913757,518.2041626,522.5850221,0.00061
-12.90658283,20.04547691,498.8716431,499.4410096,0.00058
-13.00505543,22.25505257,502.677887,503.338318,0.000618
-14.36071968,20.17874527,502.188324,502.7987061,0.000618
-15.42843151,56.23603821,492.5836792,496.0233756,0.000566
-16.67432976,32.10222244,470.892395,472.2798158,0.000555
-18.69907951,20.9586544,473.3959351,474.2284852,0.000632
-22.34427071,19.29402161,497.0361328,497.9120789,0.000589
-22.17012978,19.47985458,493.1624756,494.0447389,0.000599
-23.86418152,53.19955063,486.5462952,490.0275269,0.000576
-24.54486275,52.90038681,486.8771668,490.3572999,0.000523
-25.15694809,50.7834549,485.8640137,489.1581419,0.000527
-30.39719582,50.00201797,484.7697449,488.288727,0.000605
-31.59332848,48.47027588,482.7957153,486.250153,0.000583
-35.75673294,44.74137497,485.5218506,488.888336,0.00051
-37.54653549,24.34396744,482.8921509,484.9610289,0.000621
-40.03480911,34.00853729,489.0431824,491.8562618,0.000609
