X,Y,Z,distance,wavelength_605_nm
20.39764595,30.61776924,499.1663208,500.5202638,0.000708
17.3755188,62.13731766,510.3381958,514.4006349,0.000711
16.65859413,61.00164032,509.6834717,513.5912477,0.000639
16.64459419,61.30200577,509.255127,513.2014771,0.000657
13.33873177,38.75333405,489.784729,491.4965211,0.000719
13.29485703,53.04125595,488.1736755,491.2267149,0.00056
13.27097607,53.61729431,487.2967835,490.4172669,0.000671
12.6320715,35.29023361,488.2611389,489.697754,0.000634
12.90838242,39.13609695,498.9412231,500.6401978,0.000673
12.42803478,48.55750275,480.3745728,482.982422,0.000715
11.35880566,35.8037796,490.7205505,492.156067,0.000648
11.62040329,39.3777504,502.0220032,503.6980592,0.000491
11.07474804,47.04720688,478.4487305,480.8838502,0.000584
4.23736048,72.50009918,518.755249,523.814148,0.000735
3.51780653,72.22696686,516.8009033,521.8355103,0.00059
1.40318239,70.23825836,515.3604736,520.1267091,0.000699
1.40693367,70.78433228,516.7382202,521.5656739,0.000485
0.67443866,55.19337845,495.4161987,498.4816886,0.000693
-1.39975154,67.21710968,514.1003418,518.4778443,0.000559
-4.73721218,47.173172,497.0953064,499.3510743,0.000724
-4.68192005,48.31024551,491.2932739,493.6849981,0.000493
-11.2171154,30.38650513,484.5992432,485.680542,0.000641
-11.14552975,30.85072136,481.5066528,482.6226502,0.000742
-12.70083618,66.31913757,518.2041626,522.5850221,0.000726
